ID,start,end,duration,pos_x,pos_y,player,team,action,half
1,5,17,12,30.48,12.96,,Pittsburgh Penguins Elite 16U Girls,OZ play,1
2,5,17,12,51.68,12.6,,Pittsburgh Penguins Elite 16U Girls,OZ play,1
3,17,29,12,51.68,12.6,,Pittsburgh Penguins Elite 16U Girls,OZ play,1
4,17,29,12,51.68,12.6,,Pittsburgh Penguins Elite 16U Girls,Shots,1
5,49,61,12,47.78,8.4,,Biggby Coffee AAA Hockey 16U,OZ play,1
6,49,61,12,47.78,8.4,,Biggby Coffee AAA Hockey 16U,Shots,1
7,73,85,12,32.89,23.69,,Biggby Coffee AAA Hockey 16U,OZ play,1
8,73,85,12,32.89,23.69,,Biggby Coffee AAA Hockey 16U,Shots,1
9,126,138,12,9.45,19.67,,Biggby Coffee AAA Hockey 16U,OZ play,1
10,135,147,12,36.86,3.09,,Biggby Coffee AAA Hockey 16U,OZ play,1
11,135,147,12,36.86,3.09,,Biggby Coffee AAA Hockey 16U,Shots,1
12,141,153,12,36.86,3.09,,Biggby Coffee AAA Hockey 16U,OZ play,1
13,147,159,12,43.81,25.15,,Biggby Coffee AAA Hockey 16U,OZ play,1
14,147,159,12,43.81,25.15,,Biggby Coffee AAA Hockey 16U,Shots,1
15,158,170,12,53.45,15.81,,Pittsburgh Penguins Elite 16U Girls,OZ play,1
16,158,170,12,53.45,15.81,,Pittsburgh Penguins Elite 16U Girls,Shots,1
17,188,200,12,9.45,6.25,,Biggby Coffee AAA Hockey 16U,OZ play,1
18,205,217,12,50.28,14.3,,Biggby Coffee AAA Hockey 16U,OZ play,1
19,205,217,12,50.28,14.3,,Biggby Coffee AAA Hockey 16U,Shots,1
20,224,236,12,9.45,6.25,,Biggby Coffee AAA Hockey 16U,OZ play,1
21,276,288,12,34.23,23.98,,Biggby Coffee AAA Hockey 16U,OZ play,1
22,276,288,12,34.23,23.98,,Biggby Coffee AAA Hockey 16U,Shots,1
23,337,349,12,9.45,6.25,,Pittsburgh Penguins Elite 16U Girls,OZ play,1
24,337,349,12,47.29,17.57,,Pittsburgh Penguins Elite 16U Girls,OZ play,1
25,371,383,12,47.29,17.57,,Pittsburgh Penguins Elite 16U Girls,OZ play,1
26,371,383,12,47.29,17.57,,Pittsburgh Penguins Elite 16U Girls,Shots,1
27,414,426,12,42.96,6.71,,Biggby Coffee AAA Hockey 16U,OZ play,1
28,414,426,12,42.96,6.71,,Biggby Coffee AAA Hockey 16U,Shots,1
29,456,468,12,53.27,11.55,,Pittsburgh Penguins Elite 16U Girls,OZ play,1
30,456,468,12,53.27,11.55,,Pittsburgh Penguins Elite 16U Girls,Shots,1
31,465,477,12,46.01,7.12,,Pittsburgh Penguins Elite 16U Girls,OZ play,1
32,465,477,12,46.01,7.12,,Pittsburgh Penguins Elite 16U Girls,Shots,1
33,489,501,12,51.14,11.09,,Pittsburgh Penguins Elite 16U Girls,OZ play,1
34,489,501,12,51.51,6.25,,Pittsburgh Penguins Elite 16U Girls,OZ play,1
35,498,510,12,51.14,11.09,,Pittsburgh Penguins Elite 16U Girls,OZ play,1
36,498,510,12,51.14,11.09,,Pittsburgh Penguins Elite 16U Girls,Shots,1
37,509,521,12,53.82,3.79,,Biggby Coffee AAA Hockey 16U,OZ play,1
38,509,521,12,53.82,3.79,,Biggby Coffee AAA Hockey 16U,Shots,1
39,617,629,12,9.45,6.25,,Pittsburgh Penguins Elite 16U Girls,OZ play,1
40,617,629,12,55.9,16.75,,Pittsburgh Penguins Elite 16U Girls,OZ play,1
41,658,670,12,55.9,16.75,,Pittsburgh Penguins Elite 16U Girls,OZ play,1
42,658,670,12,55.9,16.75,,Pittsburgh Penguins Elite 16U Girls,Shots,1
43,706,718,12,44.55,22.64,,Biggby Coffee AAA Hockey 16U,OZ play,1
44,706,718,12,44.55,22.64,,Biggby Coffee AAA Hockey 16U,Shots,1
45,727,739,12,9.45,6.25,,Biggby Coffee AAA Hockey 16U,OZ play,1
46,738,750,12,56.81,10.04,,Biggby Coffee AAA Hockey 16U,OZ play,1
47,738,750,12,56.81,10.04,,Biggby Coffee AAA Hockey 16U,Shots,1
48,760,772,12,9.45,19.67,,Biggby Coffee AAA Hockey 16U,OZ play,1
49,769,781,12,45.83,7.99,,Biggby Coffee AAA Hockey 16U,OZ play,1
50,769,781,12,45.83,7.99,,Biggby Coffee AAA Hockey 16U,Shots,1
51,771,783,12,55.35,19.67,,Biggby Coffee AAA Hockey 16U,OZ play,1
52,771,783,12,55.35,19.67,,Biggby Coffee AAA Hockey 16U,Shots,1
53,794,806,12,9.45,6.25,,Biggby Coffee AAA Hockey 16U,OZ play,1
54,846,858,12,8.05,1.93,,Biggby Coffee AAA Hockey 16U,OZ play,1
55,875,887,12,51.51,19.67,,Biggby Coffee AAA Hockey 16U,OZ play,1
56,882,894,12,49.37,19.49,,Biggby Coffee AAA Hockey 16U,OZ play,1
57,882,894,12,49.37,19.49,,Biggby Coffee AAA Hockey 16U,Shots,1
58,899,911,12,51.51,19.67,,Biggby Coffee AAA Hockey 16U,OZ play,1
59,903,915,12,43.69,23.46,,Biggby Coffee AAA Hockey 16U,OZ play,1
60,903,915,12,43.69,23.46,,Biggby Coffee AAA Hockey 16U,Shots,1
61,932,944,12,47.17,5.54,,Biggby Coffee AAA Hockey 16U,OZ play,1
62,932,944,12,47.17,5.54,,Biggby Coffee AAA Hockey 16U,Shots,1
63,950,962,12,46.86,18.44,,Biggby Coffee AAA Hockey 16U,OZ play,1
64,950,962,12,46.86,18.44,,Biggby Coffee AAA Hockey 16U,Shots,1
65,959,971,12,40.82,9.22,,Biggby Coffee AAA Hockey 16U,OZ play,1
66,959,971,12,40.82,9.22,,Biggby Coffee AAA Hockey 16U,Shots,1
67,984,996,12,9.45,19.67,,Biggby Coffee AAA Hockey 16U,OZ play,1
68,998,1010,12,41.92,7.64,,Biggby Coffee AAA Hockey 16U,OZ play,1
69,998,1010,12,41.92,7.64,,Biggby Coffee AAA Hockey 16U,Shots,1
70,1014,1026,12,9.45,19.67,,Biggby Coffee AAA Hockey 16U,OZ play,1
71,1014,1026,12,40.52,25.21,,Biggby Coffee AAA Hockey 16U,OZ play,1
72,1021,1033,12,40.52,25.21,,Biggby Coffee AAA Hockey 16U,OZ play,1
73,1021,1033,12,40.52,25.21,,Biggby Coffee AAA Hockey 16U,Shots,1
74,1037,1049,12,54.43,13.89,,Pittsburgh Penguins Elite 16U Girls,OZ play,1
75,1037,1049,12,54.43,13.89,,Pittsburgh Penguins Elite 16U Girls,Shots,1
76,1082,1094,12,47.29,18.38,,Pittsburgh Penguins Elite 16U Girls,OZ play,1
77,1082,1094,12,47.29,18.38,,Pittsburgh Penguins Elite 16U Girls,Shots,1
78,1142,1154,12,51.26,6.83,,Pittsburgh Penguins Elite 16U Girls,OZ play,1
79,1142,1154,12,51.26,6.83,,Pittsburgh Penguins Elite 16U Girls,Shots,1
80,1299,1311,12,30.48,12.96,,Pittsburgh Penguins Elite 16U Girls,OZ play,2
81,1350,1362,12,49.86,1.39,,Pittsburgh Penguins Elite 16U Girls,OZ play,2
82,1350,1362,12,49.86,1.39,,Pittsburgh Penguins Elite 16U Girls,Shots,2
83,1393,1405,12,50.81,14.85,,Pittsburgh Penguins Elite 16U Girls,OZ play,2
84,1393,1405,12,50.81,14.85,,Pittsburgh Penguins Elite 16U Girls,Shots,2
85,1460,1472,12,5.82,16.11,,Biggby Coffee AAA Hockey 16U,OZ play,2
86,1460,1472,12,51.51,6.25,,Biggby Coffee AAA Hockey 16U,OZ play,2
87,1523,1535,12,5.78,16.13,,Pittsburgh Penguins Elite 16U Girls,OZ play,2
88,1523,1535,12,5.82,16.11,,Biggby Coffee AAA Hockey 16U,OZ play,2
89,1523,1535,12,55.14,9.8,,Biggby Coffee AAA Hockey 16U,OZ play,2
90,1713,1725,12,24.38,6.25,,Biggby Coffee AAA Hockey 16U,OZ play,2
91,1713,1725,12,53.25,23.64,,Biggby Coffee AAA Hockey 16U,OZ play,2
92,1748,1760,12,53.25,23.64,,Biggby Coffee AAA Hockey 16U,OZ play,2
93,1748,1760,12,53.25,23.64,,Biggby Coffee AAA Hockey 16U,Shots,2
94,1751,1763,12,51.49,9.73,,Pittsburgh Penguins Elite 16U Girls,OZ play,2
95,1967,1979,12,9.45,6.25,,Biggby Coffee AAA Hockey 16U,OZ play,2
96,1978,1990,12,55.07,12.77,,Biggby Coffee AAA Hockey 16U,OZ play,2
97,1978,1990,12,55.07,12.77,,Biggby Coffee AAA Hockey 16U,Shots,2
98,2069,2081,12,1.08,17.95,,Biggby Coffee AAA Hockey 16U,OZ play,2
99,2069,2081,12,36.58,19.67,,Biggby Coffee AAA Hockey 16U,OZ play,2
100,2093,2105,12,1.08,17.95,,Biggby Coffee AAA Hockey 16U,OZ play,2
101,2093,2105,12,59.88,7.96,,Biggby Coffee AAA Hockey 16U,OZ play,2
102,2095,2107,12,1.96,17.82,,Pittsburgh Penguins Elite 16U Girls,OZ play,2
103,2413,2425,12,51.51,19.67,,Biggby Coffee AAA Hockey 16U,OZ play,2
104,2420,2432,12,43.5,12.51,,Biggby Coffee AAA Hockey 16U,OZ play,2
105,2420,2432,12,43.5,12.51,,Biggby Coffee AAA Hockey 16U,Shots,2
106,2444,2456,12,54.13,12.51,,Biggby Coffee AAA Hockey 16U,Goals,2
107,2444,2456,12,54.13,12.51,,Biggby Coffee AAA Hockey 16U,OZ play,2
108,2444,2456,12,54.13,12.51,,Biggby Coffee AAA Hockey 16U,Shots,2
109,2501,2513,12,30.48,12.96,,Pittsburgh Penguins Elite 16U Girls,OZ play,2
110,2506,2518,12,51.15,6.95,,Pittsburgh Penguins Elite 16U Girls,OZ play,2
111,2506,2518,12,51.15,6.95,,Pittsburgh Penguins Elite 16U Girls,Shots,2
112,2693,2705,12,9.45,19.67,,Pittsburgh Penguins Elite 16U Girls,OZ play,2
113,2714,2726,12,47.36,8.53,,Pittsburgh Penguins Elite 16U Girls,OZ play,2
114,2714,2726,12,47.36,8.53,,Pittsburgh Penguins Elite 16U Girls,Shots,2
115,2741,2753,12,9.45,19.67,,Biggby Coffee AAA Hockey 16U,OZ play,2
116,2763,2775,12,41.95,25.4,,Biggby Coffee AAA Hockey 16U,OZ play,2
117,2763,2775,12,41.95,25.4,,Biggby Coffee AAA Hockey 16U,Shots,2
118,2774,2786,12,56.56,21.68,,Biggby Coffee AAA Hockey 16U,OZ play,2
119,2774,2786,12,56.56,21.68,,Biggby Coffee AAA Hockey 16U,Shots,2
120,2805,2817,12,9.45,6.25,,Biggby Coffee AAA Hockey 16U,OZ play,2
121,2823,2835,12,41.07,12.39,,Biggby Coffee AAA Hockey 16U,OZ play,2
122,2823,2835,12,41.07,12.39,,Biggby Coffee AAA Hockey 16U,Shots,2
123,2825,2837,12,48.31,12.51,,Biggby Coffee AAA Hockey 16U,OZ play,2
124,2825,2837,12,48.31,12.51,,Biggby Coffee AAA Hockey 16U,Shots,2
125,2926,2938,12,9.45,19.67,,Biggby Coffee AAA Hockey 16U,OZ play,2
126,2948,2960,12,55.48,5.56,,Biggby Coffee AAA Hockey 16U,OZ play,2
127,2948,2960,12,55.48,5.56,,Biggby Coffee AAA Hockey 16U,Shots,2
128,2989,3001,12,30.48,12.96,,Pittsburgh Penguins Elite 16U Girls,OZ play,3
129,3027,3039,12,47.12,12.53,,Pittsburgh Penguins Elite 16U Girls,OZ play,3
130,3027,3039,12,47.12,12.53,,Pittsburgh Penguins Elite 16U Girls,Shots,3
131,3135,3147,12,24.38,19.67,,Pittsburgh Penguins Elite 16U Girls,OZ play,3
132,3171,3183,12,55.73,14.24,,Pittsburgh Penguins Elite 16U Girls,Goals,3
133,3171,3183,12,55.73,14.24,,Pittsburgh Penguins Elite 16U Girls,OZ play,3
134,3171,3183,12,55.73,14.24,,Pittsburgh Penguins Elite 16U Girls,Shots,3
135,3207,3219,12,30.48,12.96,,Biggby Coffee AAA Hockey 16U,OZ play,3
136,3207,3219,12,39.97,2.37,,Biggby Coffee AAA Hockey 16U,OZ play,3
137,3219,3231,12,39.97,2.37,,Biggby Coffee AAA Hockey 16U,OZ play,3
138,3219,3231,12,39.97,2.37,,Biggby Coffee AAA Hockey 16U,Shots,3
139,3247,3259,12,52.16,22.21,,Pittsburgh Penguins Elite 16U Girls,OZ play,3
140,3247,3259,12,52.16,22.21,,Pittsburgh Penguins Elite 16U Girls,Shots,3
141,3305,3317,12,48.03,2.37,,Pittsburgh Penguins Elite 16U Girls,OZ play,3
142,3305,3317,12,48.03,2.37,,Pittsburgh Penguins Elite 16U Girls,Shots,3
143,3403,3415,12,45.1,5.69,,Biggby Coffee AAA Hockey 16U,OZ play,3
144,3403,3415,12,45.1,5.69,,Biggby Coffee AAA Hockey 16U,Shots,3
145,3436,3448,12,43.73,4.75,,Pittsburgh Penguins Elite 16U Girls,OZ play,3
146,3436,3448,12,43.73,4.75,,Pittsburgh Penguins Elite 16U Girls,Shots,3
147,3544,3556,12,53.26,21.45,,Pittsburgh Penguins Elite 16U Girls,OZ play,3
148,3544,3556,12,53.26,21.45,,Pittsburgh Penguins Elite 16U Girls,Shots,3
149,3591,3603,12,46.29,4.84,,Biggby Coffee AAA Hockey 16U,OZ play,3
150,3591,3603,12,46.29,4.84,,Biggby Coffee AAA Hockey 16U,Shots,3
151,3595,3607,12,52.07,16.42,,Biggby Coffee AAA Hockey 16U,OZ play,3
152,3595,3607,12,52.07,16.42,,Biggby Coffee AAA Hockey 16U,Shots,3
153,3621,3633,12,48.03,5.98,,Biggby Coffee AAA Hockey 16U,OZ play,3
154,3621,3633,12,48.03,5.98,,Biggby Coffee AAA Hockey 16U,Shots,3
155,3706,3718,12,28.69,1.33,,Biggby Coffee AAA Hockey 16U,OZ play,3
156,3706,3718,12,32.27,24.58,,Biggby Coffee AAA Hockey 16U,OZ play,3
157,3707,3719,12,32.08,24.68,,Pittsburgh Penguins Elite 16U Girls,OZ play,3
158,3709,3721,12,49.13,1.52,,Pittsburgh Penguins Elite 16U Girls,OZ play,3
159,3709,3721,12,49.13,1.52,,Pittsburgh Penguins Elite 16U Girls,Shots,3
160,3828,3840,12,51.51,6.25,,Pittsburgh Penguins Elite 16U Girls,OZ play,3
161,3882,3894,12,47.94,0.95,,Pittsburgh Penguins Elite 16U Girls,OZ play,3
162,3882,3894,12,47.94,0.95,,Pittsburgh Penguins Elite 16U Girls,Shots,3
163,3971,3983,12,9.45,6.25,,Biggby Coffee AAA Hockey 16U,OZ play,3
164,3983,3995,12,53.72,14.9,,Biggby Coffee AAA Hockey 16U,OZ play,3
165,3983,3995,12,53.72,14.9,,Biggby Coffee AAA Hockey 16U,Shots,3
166,4006,4018,12,56.38,6.17,,Biggby Coffee AAA Hockey 16U,OZ play,3
167,4006,4018,12,56.38,6.17,,Biggby Coffee AAA Hockey 16U,Shots,3
