ID,start,end,duration,pos_x,pos_y,player,team,action,half
1,3,15,12,30.48,12.96,,West Dundee Leafs 19U AA (w),OZ play,1
2,16,28,12,54.08,9.87,,West Dundee Leafs 19U AA (w),OZ play,1
3,16,28,12,54.08,9.87,,West Dundee Leafs 19U AA (w),Shots,1
4,19,31,12,54.36,16.7,,West Dundee Leafs 19U AA (w),OZ play,1
5,19,31,12,54.36,16.7,,West Dundee Leafs 19U AA (w),Shots,1
6,67,79,12,49.04,9.68,,North Shore Warhawks 19U AA,OZ play,1
7,67,79,12,49.04,9.68,,North Shore Warhawks 19U AA,Shots,1
8,91,103,12,51.51,6.25,,West Dundee Leafs 19U AA (w),OZ play,1
9,115,127,12,52.89,13,,West Dundee Leafs 19U AA (w),OZ play,1
10,115,127,12,52.89,13,,West Dundee Leafs 19U AA (w),Shots,1
11,169,181,12,54.54,8.64,,West Dundee Leafs 19U AA (w),OZ play,1
12,169,181,12,54.54,8.64,,West Dundee Leafs 19U AA (w),Shots,1
13,189,201,12,40.7,21.07,,West Dundee Leafs 19U AA (w),OZ play,1
14,189,201,12,40.7,21.07,,West Dundee Leafs 19U AA (w),Shots,1
15,361,373,12,2,15,,North Shore Warhawks 19U AA,OZ play,1
16,441,453,12,2,15,,North Shore Warhawks 19U AA,OZ play,1
17,445,457,12,39.78,17.08,,North Shore Warhawks 19U AA,OZ play,1
18,445,457,12,39.78,17.08,,North Shore Warhawks 19U AA,Shots,1
19,451,463,12,42.08,0.95,,North Shore Warhawks 19U AA,OZ play,1
20,451,463,12,42.08,0.95,,North Shore Warhawks 19U AA,Shots,1
21,469,481,12,49.04,13.29,,West Dundee Leafs 19U AA (w),OZ play,1
22,469,481,12,49.04,13.29,,West Dundee Leafs 19U AA (w),Shots,1
23,541,553,12,44.28,22.78,,North Shore Warhawks 19U AA,OZ play,1
24,541,553,12,51.51,19.67,,North Shore Warhawks 19U AA,OZ play,1
25,543,555,12,44.28,22.78,,North Shore Warhawks 19U AA,OZ play,1
26,543,555,12,44.28,22.78,,North Shore Warhawks 19U AA,Shots,1
27,653,665,12,45.28,1.23,,West Dundee Leafs 19U AA (w),OZ play,1
28,653,665,12,45.28,1.23,,West Dundee Leafs 19U AA (w),Shots,1
29,681,693,12,47.3,5.79,,North Shore Warhawks 19U AA,OZ play,1
30,681,693,12,47.3,5.79,,North Shore Warhawks 19U AA,Shots,1
31,707,719,12,47.67,1.71,,North Shore Warhawks 19U AA,OZ play,1
